10,0.430615,3.49457
20,0.332593,1.95922
30,0.26473,1.93195
40,0.243562,1.86687
50,0.229125,1.87944
60,0.19872,1.77745
70,0.177418,1.85383
80,0.167244,1.93086
90,0.138521,1.95248
100,0.154508,1.99605
110,0.154065,1.93222
120,0.139884,1.83163
130,0.14437,1.72914
140,0.140515,1.90915
150,0.128769,1.83925
160,0.110819,1.98627
170,0.121302,1.8887
180,0.116349,1.90856
190,0.0964406,1.72259
200,0.10503,1.91663
210,0.102452,1.9856
220,0.0999536,1.76709
230,0.107954,1.89572
240,0.0842585,1.80244
250,0.0988429,1.92591
260,0.078765,1.9253
270,0.0842393,1.80137
280,0.0747974,1.95366
290,0.0815362,1.92846
300,0.101395,1.90328
310,0.0815079,1.88902
320,0.08502,2
330,0.0790959,1.96185
340,0.0788284,1.92811
350,0.0761109,1.62886
360,0.0797335,1.92808
370,0.0689719,1.95406
380,0.0785073,1.90846
390,0.0820288,1.99083
400,0.0774928,1.86431
410,0.0699923,1.72887
420,0.0662436,1.80461
430,0.0661139,1.98463
440,0.0696005,1.79333
450,0.0650304,1.87498
460,0.0672133,1.9211
470,0.0841771,1.81318
480,0.0599485,1.90707
490,0.0594086,1.77851
500,0.0790589,1.75701
510,0.0608552,1.88739
520,0.0604602,1.87129
530,0.0653643,1.854
540,0.0552974,1.75937
550,0.060744,1.86887
560,0.0673712,1.80115
570,0.0693586,1.86292
580,0.0609003,1.91363
590,0.0698896,1.86505
600,0.0584817,1.83372
620,0.0638053,1.7829
630,0.0577429,1.77155
640,0.0762268,1.96068
650,0.0923216,1.87451
660,0.104832,1.8935
670,0.0852264,1.90711
680,0.0495335,1.87236
690,0.0531878,1.99891
700,0.0594299,1.81211
710,0.0722467,1.88046
720,0.0575382,1.8744
730,0.0633666,1.8789
740,0.0589617,1.67717
750,0.0592178,1.84464
760,0.0602947,1.92121
770,0.057667,1.907
780,0.0553239,1.82889
790,0.0694888,1.93647
800,0.0643355,1.89919
810,0.0730212,1.7046
820,0.0527458,1.87099
830,0.0649851,1.86137
840,0.0552359,1.89738
850,0.0443506,1.82624
860,0.0521938,1.92928
870,0.0507896,1.92393
880,0.0493485,1.88602
890,0.0509387,1.86807
900,0.0504869,1.88303
910,0.0500746,1.72179
920,0.0563686,1.97659
930,0.0590651,1.90244
940,0.0524796,1.93625
950,0.0532459,1.78215
960,0.0505243,1.83184
970,0.0483008,1.72927
980,0.0539847,1.89306
990,0.0459588,1.7378
